,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot134,0.13689049,3.046154e-06,0.02731219,0.5417285,0.22582753,4.0807545e-06,0.06429874,7.173745e-06,0.003928146
spot135,0.6262349,8.473492e-06,1.3832079e-05,2.3179055e-05,0.3261854,0.006882043,0.026824826,2.5907614e-06,0.013824882
spot136,0.080175005,1.1274306e-05,0.03651997,0.44715238,0.30301836,2.3356386e-05,0.037674285,0.066829875,0.028595513
spot137,0.069432564,0.59251946,6.3586444e-06,0.1534492,3.2024895e-05,0.1812759,0.0017114785,1.4245647e-06,0.0015716541
spot138,0.0205237,9.6728e-06,5.4745688e-06,0.050416768,0.60509866,0.3031447,5.3553727e-06,0.02079331,2.3462858e-06
spot139,6.619641e-06,1.8377013e-05,4.093242e-06,0.0009924137,0.75686455,0.0067423703,0.23083918,3.5009666e-06,0.0045288806
spot140,0.10058178,0.8842198,0.015088869,1.3848601e-05,5.7353478e-05,5.799314e-06,6.2126924e-06,1.011401e-05,1.6103046e-05
spot141,5.940931e-06,9.10752e-06,6.6790776e-06,1.507803e-05,0.98104507,7.687961e-06,0.0004210124,0.004711879,0.013777468
spot142,3.7689085e-06,3.089432e-06,2.7689985e-06,0.28404108,0.2872657,6.6701928e-06,0.42352027,2.3111118e-06,0.0051542846
spot143,7.6202014e-06,6.6375237e-06,1.438911e-05,2.5661013e-05,0.9838609,2.0065765e-05,0.016059523,2.4455048e-06,2.6529956e-06
spot144,0.066165,3.755863e-06,4.6855257e-06,0.03352552,0.77380246,6.7210594e-06,0.11685325,5.4233155e-06,0.009633268
spot145,1.3626769e-06,0.03043964,1.4852293e-06,0.08174311,0.86794806,1.6724749e-06,2.3588884e-06,0.019860482,1.6854956e-06
spot146,2.0710072e-06,2.7925205e-06,1.8407071e-06,0.12808876,0.6545568,9.309114e-05,0.2148678,0.0014594805,0.00092740264
spot147,5.419493e-06,4.3655677e-06,7.356667e-06,0.20773457,0.78509927,0.0004964418,0.001060911,1.6157795e-05,0.005575641
spot148,0.28697422,3.7290133e-06,1.3308452e-05,1.0113529e-05,0.5748243,0.033788893,0.050522894,0.036927346,0.016935345
spot149,6.286449e-06,0.4814643,4.487287e-06,0.05026119,8.369504e-06,0.14767864,2.4577269e-06,0.32057312,1.1803553e-06
spot150,0.14203869,2.6062503e-06,6.5182967e-06,0.17005134,0.66501486,1.8010501e-06,8.031855e-06,0.020774169,0.0021019217
spot151,7.921391e-06,0.0060117245,0.0075076465,1.2197712e-05,0.7387253,0.0016764593,0.23866412,4.3617847e-06,0.0073902947
spot152,2.5957512e-05,0.0036400256,7.2622306e-06,2.1194619e-05,0.9563283,0.009763385,0.013058696,0.003215697,0.01393939
spot153,5.0913445e-06,0.38652363,1.3258244e-05,2.6125854e-05,0.58645165,9.54468e-06,0.026964318,3.114151e-06,3.2963549e-06
spot154,0.03180279,8.690029e-06,0.007877469,4.6599238e-05,0.92184895,0.011124366,0.0056292573,0.010230636,0.011431147
spot155,1.7219709e-05,3.1155218e-05,0.002458503,4.838284e-06,0.78925955,0.17844318,4.734921e-06,0.017082635,0.012698228
spot156,0.09998922,0.06332823,0.021341639,4.956191e-06,0.48179266,3.3263148e-06,0.33353442,3.2001597e-06,2.3661626e-06
spot157,0.123762354,3.3919614e-06,4.658885e-06,8.421547e-06,0.5270729,3.0924691e-06,0.33992848,1.921147e-06,0.009214787
spot158,0.24854203,1.2583633e-05,0.08502757,2.7990953e-05,0.6213411,0.030318376,1.0266712e-05,0.001903997,0.012816007
spot159,0.0032311392,0.018486694,4.4716357e-06,0.6510972,0.31748858,1.7181832e-05,0.0017002976,6.1855903e-06,0.007968294
spot160,4.7543485e-06,5.099331e-06,3.5757735e-06,1.4097231e-05,0.97965705,1.5434438e-06,4.2829256e-06,6.4490073e-06,0.02030321
spot161,0.0032326034,0.21424273,2.4120516e-05,0.00013127984,0.62444496,0.022647297,0.10701059,0.028263012,3.4630239e-06
spot162,4.367883e-05,3.5439405e-06,5.400388e-06,0.1819569,0.8037428,0.00046008237,0.01059229,0.0031877987,7.5537046e-06
spot163,0.020564806,0.47757477,8.850857e-06,1.21196235e-05,0.46435848,0.03004782,3.7291825e-06,0.0074274917,1.936044e-06
spot164,6.635424e-06,0.093292125,3.0119047e-06,0.1509573,0.33476776,0.0007180778,0.4011666,0.0040578763,0.0150306225
spot165,1.0636438e-05,0.028763937,5.6447366e-06,0.92956775,4.9594983e-05,0.016067121,8.588891e-06,0.025518289,8.39365e-06
spot166,0.07707709,0.007968236,1.2630729e-05,1.5353638e-05,0.8865182,0.019921316,5.1452635e-06,5.8193364e-06,0.008476241
spot167,0.52384055,0.25059772,7.6281153e-06,1.4979153e-05,8.049967e-05,0.008852421,0.20297599,0.012716454,0.0009136961
spot168,0.106726386,2.5482666e-05,7.2053494e-06,2.1826594e-05,0.77934057,0.11368818,0.0001849971,2.7748415e-06,2.602137e-06
spot169,7.2860757e-06,0.40778622,6.5484232e-06,0.26469496,0.32383397,7.4590675e-06,1.4675105e-05,0.0035829686,6.603572e-05
spot170,0.32506418,3.0360507e-06,0.03630569,0.0006019656,0.61402726,0.008735623,5.2214277e-06,0.011931243,0.003325771
spot171,0.10548007,0.2414171,9.339958e-06,5.4743014e-06,0.41689703,0.0046816566,0.0042270296,0.21999969,0.0072825556
spot172,0.44533703,4.218892e-06,0.00014046232,1.1122111e-05,0.54931515,2.1056496e-06,5.9107065e-06,1.5923689e-06,0.005182272
spot173,0.52167046,0.22352056,0.044596273,0.016827757,0.1404033,0.014133563,0.021766594,6.5646104e-06,0.017074876
spot174,0.042150468,3.8302056e-05,0.00033648737,0.00019596484,0.58737874,2.3525095e-05,0.104041986,0.26582074,1.3816747e-05
spot175,6.79492e-06,1.868851e-05,1.6422482e-05,2.7633523e-05,2.5981244e-05,0.0043725073,0.9618667,0.0336624,2.890863e-06
spot176,5.816355e-06,8.099804e-06,1.8524202e-05,0.30107638,0.6122374,0.011481743,0.07512058,4.832342e-05,3.2327812e-06
spot177,3.3568135e-06,0.1861709,5.076979e-06,0.61545074,0.19370195,0.0007015766,0.003956689,6.165535e-06,3.561465e-06
spot178,4.696189e-06,4.5106917e-06,5.9955737e-06,0.2883542,0.71157056,4.486595e-05,5.8305454e-06,4.179435e-06,5.1464403e-06
